SID,CID,SCORE,TID
200900130985,300023,94.0,100023
200900130986,300033,58.0,100002
200900130987,300005,53.0,100005
200900130988,300010,75.0,100010
200900130989,300015,95.0,100015
200900130990,300016,94.0,100016
200900130991,300003,68.0,100003
200900130992,300018,85.0,100018
200900130993,300004,89.0,100004
200900130994,300025,100.0,100025
200900130995,300035,92.0,100004
200900130996,300038,75.0,100007
200900130997,300030,91.0,100030
200900130998,300021,63.0,100021
200900130999,300019,99.0,100019
200900131000,300022,82.0,100022
200900131001,300018,86.0,100018
200900131002,300004,79.0,100004
200900131003,300033,54.0,100002
200900131004,300018,76.0,100018
200900131005,300004,60.0,100004
200900131006,300011,64.0,100011
200900131007,300004,80.0,100004
200900131008,300015,68.0,100015
200900131009,300016,86.0,100016
200900131010,300012,93.0,100012
200900131011,300038,59.0,100007
200900131013,300006,58.0,100006
200900131014,300022,70.0,100022
200900131015,300034,79.0,100003
200900131016,300029,77.0,100029
200900131017,300023,53.0,100023
200900131018,300011,71.0,100011
200900131019,300001,91.0,100001
200900131020,300039,77.0,100008
200900131021,300032,61.0,100001
200900131022,300036,71.0,100005
200900131023,300034,66.0,100003
200900131024,300037,62.0,100006
200900131025,300001,60.0,100001
200900131026,300037,54.0,100006
200900131027,300023,76.0,100023
200900131028,300040,58.0,100009
200900131029,300027,75.0,100027
200900131030,300002,92.0,100002
200900131031,300035,71.0,100004
200900131032,300029,60.0,100029
200900131033,300040,69.0,100009
200900131034,300028,77.0,100028
200900131035,300023,52.0,100023
200900131037,300020,52.0,100020
200900131039,300035,73.0,100004
200900131040,300034,94.0,100003
200900131041,300032,92.0,100001
200900131042,300003,72.0,100003
200900131043,300026,85.0,100026
200900131044,300032,92.0,100001
200900131045,300029,58.0,100029
200900131046,300010,90.0,100010
200900131047,300012,96.0,100012
200900131048,300040,81.0,100009
200900131049,300038,63.0,100007
200900131050,300036,61.0,100005
200900131051,300029,56.0,100029
200900131052,300013,81.0,100013
200900131053,300011,52.0,100011
200900131054,300026,63.0,100026
200900131055,300039,92.0,100008
200900131056,300003,91.0,100003
200900131057,300037,70.0,100006
200900131058,300013,99.0,100013
200900131059,300005,56.0,100005
200900131060,300006,64.0,100006
200900131061,300037,52.0,100006
200900131062,300007,66.0,100007
200900131063,300037,64.0,100006
200900131064,300005,83.0,100005
200900131065,300021,84.0,100021
200900131066,300002,69.0,100002
200900131067,300019,75.0,100019
200900131068,300013,93.0,100013
200900131069,300023,51.0,100023
200900131071,300018,70.0,100018
200900131072,300027,74.0,100027
200900131073,300021,80.0,100021
200900131074,300003,56.0,100003
200900131075,300035,95.0,100004
200900131076,300021,74.0,100021
200900131077,300040,78.0,100009
200900131078,300034,84.0,100003
200900131079,300001,65.0,100001
200900131080,300022,52.0,100022
200900131081,300030,70.0,100030
200900131082,300007,59.0,100007
200900131083,300022,83.0,100022
200900131084,300030,53.0,100030
200900131085,300001,56.0,100001
200900131086,300015,86.0,100015
200900131087,300032,92.0,100001
200900131088,300004,90.0,100004
200900131089,300022,97.0,100022
200900131090,300021,72.0,100021
200900131091,300007,69.0,100007
200900131092,300040,71.0,100009
200900131093,300005,79.0,100005
200900131094,300006,50.0,100006
200900131095,300015,97.0,100015
200900131096,300028,93.0,100028
200900131097,300038,76.0,100007
200900131098,300007,94.0,100007
200900131099,300028,89.0,100028
200900131100,300032,61.0,100001
200900131101,300023,82.0,100023
200900131102,300014,62.0,100014
200900131103,300026,91.0,100026
200900131104,300037,93.0,100006
200900131105,300023,60.0,100023
200900131106,300010,78.0,100010
200900131107,300029,80.0,100029
200900131108,300028,75.0,100028
200900131109,300027,79.0,100027
200900131110,300025,85.0,100025
200900131111,300018,57.0,100018
200900131113,300034,86.0,100003
200900131114,300026,87.0,100026
200900131115,300007,89.0,100007
200900131116,300004,86.0,100004
200900131117,300038,99.0,100007
200900131118,300036,72.0,100005
200900131119,300019,91.0,100019
200900131120,300025,91.0,100025
200900131121,300019,99.0,100019
200900131122,300001,63.0,100001
200900131123,300015,54.0,100015
200900131124,300027,83.0,100027
200900131125,300031,52.0,100000
200900131126,300002,63.0,100002
200900131127,300022,54.0,100022
200900131128,300005,75.0,100005
200900131129,300040,86.0,100009
200900131130,300002,86.0,100002
200900131131,300021,85.0,100021
200900131132,300009,84.0,100009
200900131133,300032,91.0,100001
200900131134,300005,87.0,100005
200900131135,300026,87.0,100026
200900131136,300040,79.0,100009
200900131137,300001,71.0,100001
200900131138,300002,60.0,100002
200900131139,300040,97.0,100009
200900131140,300028,79.0,100028
200900131141,300011,96.0,100011
200900131142,300024,50.0,100024
200900131143,300014,51.0,100014
200900131144,300029,84.0,100029
200900131145,300030,51.0,100030
200900131146,300003,84.0,100003
200900131147,300032,64.0,100001
200900131148,300036,96.0,100005
200900131149,300010,78.0,100010
200900131150,300024,89.0,100024
200900131151,300010,84.0,100010
200900131152,300005,95.0,100005
200900131153,300005,68.0,100005
200900131154,300011,61.0,100011
200900131155,300023,55.0,100023
200900131156,300035,95.0,100004
200900131157,300001,75.0,100001
200900131158,300005,82.0,100005
200900131159,300035,62.0,100004
200900131160,300029,64.0,100029
200900131161,300002,61.0,100002
200900131162,300015,95.0,100015
200900131163,300017,59.0,100017
200900131164,300019,68.0,100019
200900131166,300004,86.0,100004
200900130531,300018,62.0,100018
200900130532,300016,60.0,100016
200900130533,300008,84.0,100008
200900130534,300036,55.0,100005
200900130535,300017,78.0,100017
200900130536,300035,95.0,100004
200900130537,300005,85.0,100005
200900130538,300006,58.0,100006
200900130539,300035,95.0,100004
200900130540,300031,73.0,100000
200900130541,300007,84.0,100007
200900130542,300037,61.0,100006
200900130543,300039,89.0,100008
200900130544,300032,78.0,100001
200900130545,300017,74.0,100017
200900130546,300037,97.0,100006
200900130547,300003,78.0,100003
200900130548,300025,54.0,100025
200900130549,300014,65.0,100014
200900130550,300003,56.0,100003
200900130551,300005,91.0,100005
200900130552,300023,59.0,100023
200900130553,300012,76.0,100012
200900130554,300033,72.0,100002
200900130555,300015,94.0,100015
200900130556,300004,94.0,100004
200900130557,300018,83.0,100018
200900130558,300017,50.0,100017
200900130560,300006,64.0,100006
200900130561,300003,67.0,100003
200900130562,300031,60.0,100000
200900132256,300013,65.0,100013
200900132257,300030,80.0,100030
200900132258,300025,74.0,100025
200900132259,300003,53.0,100003
200900132260,300009,50.0,100009
200900132261,300011,63.0,100011
200900132262,300023,93.0,100023
200900132263,300026,60.0,100026
200900132264,300023,96.0,100023
200900132265,300015,89.0,100015
200900132266,300004,59.0,100004
200900132267,300013,81.0,100013
200900132268,300031,74.0,100000
200900132269,300024,54.0,100024
200900132270,300027,65.0,100027
200900132272,300005,75.0,100005
200900132273,300035,52.0,100004
200900132274,300015,93.0,100015
200900132275,300018,83.0,100018
200900132276,300017,81.0,100017
200900132277,300012,97.0,100012
200900132278,300008,77.0,100008
200900132279,300012,89.0,100012
200900132280,300009,76.0,100009
200900132281,300036,71.0,100005
200900132282,300030,70.0,100030
200900132283,300010,67.0,100010
200900132284,300013,76.0,100013
200900132285,300035,50.0,100004
200900132286,300023,65.0,100023
200900132287,300013,60.0,100013
200900132289,300006,95.0,100006
200900132290,300039,84.0,100008
200900132291,300023,98.0,100023
200900132292,300021,59.0,100021
200900132293,300010,83.0,100010
200900132294,300033,73.0,100002
200900132295,300004,94.0,100004
200900132296,300004,84.0,100004
200900132297,300018,100.0,100018
200900132298,300028,88.0,100028
200900132299,300010,79.0,100010
200900132300,300025,93.0,100025
200900132301,300018,86.0,100018
200900132302,300003,86.0,100003
200900132303,300024,69.0,100024
200900132304,300014,74.0,100014
200900132305,300033,71.0,100002
200900132306,300015,50.0,100015
200900132307,300006,95.0,100006
200900132308,300012,67.0,100012
200900132309,300032,59.0,100001
200900132310,300036,96.0,100005
200900132311,300016,87.0,100016
200900132313,300025,66.0,100025
200900132314,300007,97.0,100007
200900132315,300003,72.0,100003
200900132316,300014,71.0,100014
200900132317,300015,87.0,100015
200900132319,300027,93.0,100027
200900132320,300038,52.0,100007
200900132321,300023,77.0,100023
200900132322,300034,58.0,100003
200900132323,300019,99.0,100019
200900132324,300001,64.0,100001
200900132325,300029,87.0,100029
200900132326,300006,72.0,100006
200900132327,300027,89.0,100027
200900132328,300009,84.0,100009
200900132329,300036,87.0,100005
200900132330,300013,99.0,100013
200900132331,300031,72.0,100000
200900132332,300038,95.0,100007
200900132333,300029,99.0,100029
200900132334,300039,99.0,100008
200900132335,300017,57.0,100017
200900132336,300024,53.0,100024
200900132337,300011,76.0,100011
200900132338,300033,68.0,100002
200900132339,300005,58.0,100005
200900132340,300005,95.0,100005
200900132341,300036,73.0,100005
200900132342,300014,93.0,100014
200900132343,300032,80.0,100001
200900132344,300033,92.0,100002
200900132346,300005,69.0,100005
200900132347,300035,53.0,100004
200900132348,300024,73.0,100024
200900132349,300019,99.0,100019
200900132350,300012,97.0,100012
200900132351,300010,57.0,100010
200900132352,300006,50.0,100006
200900132353,300031,81.0,100000
200900132354,300021,85.0,100021
200900132355,300035,90.0,100004
200900132356,300004,94.0,100004
200900132357,300004,66.0,100004
200900132358,300029,77.0,100029
200900132359,300019,55.0,100019
200900132360,300027,71.0,100027
200900132361,300015,66.0,100015
200900132362,300012,71.0,100012
200900132364,300037,76.0,100006
200900132365,300001,91.0,100001
200900132366,300025,78.0,100025
200900132367,300033,52.0,100002
200900132368,300021,64.0,100021
200900132369,300016,89.0,100016
200900132370,300002,52.0,100002
200900132371,300013,97.0,100013
200900132372,300011,52.0,100011
200900132373,300001,71.0,100001
200900132374,300001,91.0,100001
200900132375,300026,74.0,100026
200900132376,300004,52.0,100004
200900132377,300026,54.0,100026
200900132378,300021,55.0,100021
200900132380,300003,74.0,100003
200900132381,300008,89.0,100008
200900132382,300035,95.0,100004
200900132383,300024,75.0,100024
200900132384,300028,78.0,100028
200900132385,300025,66.0,100025
200900132386,300028,63.0,100028
200900132387,300016,65.0,100016
200900132388,300032,52.0,100001
200900132389,300012,74.0,100012
200900132390,300007,77.0,100007
200900132391,300012,77.0,100012
200900132393,300040,60.0,100009
200900132395,300024,52.0,100024
200900132396,300015,85.0,100015
200900132397,300019,95.0,100019
200900132398,300006,95.0,100006
200900132399,300027,63.0,100027
200900132400,300002,89.0,100002
200900132401,300028,92.0,100028
200900132402,300005,56.0,100005
200900132403,300012,94.0,100012
200900132404,300003,93.0,100003
200900132405,300005,62.0,100005
200900132406,300009,90.0,100009
200900132407,300036,78.0,100005
200900132408,300019,97.0,100019
200900132410,300030,89.0,100030
200900132411,300006,96.0,100006
200900132413,300016,75.0,100016
200900132414,300011,73.0,100011
200900132415,300031,80.0,100000
200900132416,300038,93.0,100007
